,movie,year,imdb,metascore,votes,n_imdb
0,Gladiator,2000,8.5,67        ,1134606,85.0
1,Memento,2000,8.5,80        ,974589,85.0
2,Snatch,2000,8.3,55        ,683400,83.0
3,Requiem for a Dream,2000,8.3,68        ,662363,83.0
4,X-Men,2000,7.4,64        ,509741,74.0
5,Cast Away,2000,7.8,73        ,447496,78.0
6,American Psycho,2000,7.6,64        ,406630,76.0
7,Unbreakable,2000,7.2,62        ,293583,72.0
8,Meet the Parents,2000,7.0,73        ,283016,70.0
9,Mission: Impossible II,2000,6.1,59        ,269046,61.0
10,"O Brother, Where Art Thou?",2000,7.8,69        ,250235,78.0
11,Gone in Sixty Seconds,2000,6.5,35        ,236996,65.0
12,"Crouching Tiger, Hidden Dragon",2000,7.9,93        ,232956,79.0
13,The Patriot,2000,7.2,63        ,227986,72.0
14,Almost Famous,2000,7.9,90        ,226410,79.0
15,Pitch Black,2000,7.1,49        ,207858,71.0
16,Scary Movie,2000,6.2,48        ,205808,62.0
17,"Me, Myself & Irene",2000,6.6,49        ,202068,66.0
18,Final Destination,2000,6.7,36        ,200969,67.0
19,The Beach,2000,6.6,43        ,198587,66.0
20,Amores Perros,2000,8.1,83        ,198263,81.0
21,Traffic,2000,7.6,86        ,181047,76.0
22,Remember the Titans,2000,7.8,48        ,177002,78.0
23,What Women Want,2000,6.4,47        ,173722,64.0
24,How the Grinch Stole Christmas,2000,6.1,46        ,166103,61.0
25,Chocolat,2000,7.3,64        ,162611,73.0
26,Miss Congeniality,2000,6.2,43        ,157683,62.0
27,Charlie's Angels,2000,5.5,52        ,157118,55.0
28,Chicken Run,2000,7.0,88        ,156098,70.0
29,High Fidelity,2000,7.5,79        ,153856,75.0
30,Battle Royale,2000,7.7,81        ,152700,77.0
31,Erin Brockovich,2000,7.3,73        ,150724,73.0
32,The Emperor's New Groove,2000,7.3,70        ,148818,73.0
33,Road Trip,2000,6.5,55        ,143782,65.0
34,The Perfect Storm,2000,6.4,59        ,142327,64.0
35,"Dude, Where's My Car?",2000,5.5,30        ,124913,55.0
36,Hollow Man,2000,5.7,24        ,110677,57.0
37,Scream 3,2000,5.5,56        ,108739,55.0
38,Billy Elliot,2000,7.7,74        ,108234,77.0
39,The 6th Day,2000,5.9,49        ,107063,59.0
40,Shanghai Noon,2000,6.6,77        ,106827,66.0
41,What Lies Beneath,2000,6.6,51        ,106229,66.0
42,Pay It Forward,2000,7.2,40        ,103997,72.0
43,The Whole Nine Yards,2000,6.7,47        ,98574,67.0
44,Coyote Ugly,2000,5.6,27        ,97627,56.0
45,Men of Honor,2000,7.2,56        ,97327,72.0
46,In the Mood for Love,2000,8.1,85        ,96646,81.0
47,The Family Man,2000,6.7,42        ,93469,67.0
48,Frequency,2000,7.4,67        ,90576,74.0
49,Dancer in the Dark,2000,8.0,61        ,88723,80.0
50,Bedazzled,2000,6.0,49        ,88227,60.0
51,Little Nicky,2000,5.3,38        ,87794,53.0
52,The Cell,2000,6.3,40        ,86355,63.0
53,Bring It On,2000,6.0,52        ,77382,60.0
54,Finding Forrester,2000,7.3,62        ,77065,73.0
55,Malèna,2000,7.5,54        ,75001,75.0
56,Big Momma's House,2000,5.1,33        ,73133,51.0
57,Battlefield Earth,2000,2.4,9        ,70247,24.0
58,U-571,2000,6.6,62        ,70211,66.0
59,The Road to El Dorado,2000,6.9,51        ,69703,69.0
60,Space Cowboys,2000,6.4,73        ,65743,64.0
61,Mission to Mars,2000,5.6,34        ,65090,56.0
62,Shaft,2000,5.9,50        ,63035,59.0
63,Romeo Must Die,2000,6.1,52        ,61238,61.0
64,Wonder Boys,2000,7.4,73        ,57406,74.0
65,The Gift,2000,6.7,62        ,56537,67.0
66,Titan A.E.,2000,6.6,48        ,55039,66.0
67,Vertical Limit,2000,5.9,48        ,53462,59.0
68,The Crimson Rivers,2000,6.9,49        ,52617,69.0
69,The Replacements,2000,6.5,30        ,52411,65.0
70,Proof of Life,2000,6.2,45        ,51770,62.0
71,Red Planet,2000,5.7,34        ,51013,57.0
72,Best in Show,2000,7.5,78        ,49621,75.0
73,The Legend of Bagger Vance,2000,6.7,47        ,49159,67.0
74,Thirteen Days,2000,7.3,67        ,48916,73.0
75,Sexy Beast,2000,7.3,79        ,47820,73.0
76,Quills,2000,7.3,70        ,47764,73.0
77,Keeping the Faith,2000,6.4,60        ,46973,64.0
78,Boiler Room,2000,7.0,63        ,44930,70.0
79,Dinosaur,2000,6.5,56        ,44259,65.0
80,Nine Queens,2000,7.9,80        ,43706,79.0
81,Nutty Professor II: The Klumps,2000,4.4,38        ,43683,44.0
82,Rules of Engagement,2000,6.4,45        ,40357,64.0
83,28 Days,2000,6.0,46        ,38363,60.0
84,The Kid,2000,6.1,45        ,36878,61.0
85,Shadow of the Vampire,2000,6.9,71        ,36573,69.0
86,Ginger Snaps,2000,6.8,70        ,36413,68.0
87,Tigerland,2000,7.0,55        ,35417,70.0
88,Reindeer Games,2000,5.7,37        ,33939,57.0
89,Small Time Crooks,2000,6.7,69        ,33637,67.0
90,Chopper,2000,7.2,65        ,33626,72.0
91,Book of Shadows: Blair Witch 2,2000,4.0,15        ,32388,40.0
92,Next Friday,2000,6.1,41        ,31888,61.0
93,Nurse Betty,2000,6.2,69        ,31298,62.0
94,102 Dalmatians,2000,4.9,35        ,29857,49.0
95,Get Carter,2000,5.1,24        ,29624,51.0
96,Dracula 2000,2000,4.9,26        ,29351,49.0
97,Dungeons & Dragons,2000,3.7,14        ,29215,37.0
98,Where the Heart Is,2000,6.8,30        ,29211,68.0
99,The Way of the Gun,2000,6.7,49        ,29177,67.0
100,The Skulls,2000,5.6,24        ,28762,56.0
101,The Art of War,2000,5.7,30        ,26735,57.0
102,Vampire Hunter D: Bloodlust,2000,7.7,62        ,25457,77.0
103,You Can Count on Me,2000,7.7,85        ,25131,77.0
104,Pollock,2000,7.0,77        ,24823,70.0
105,Loser,2000,5.3,35        ,24448,53.0
106,The Watcher,2000,5.3,22        ,23635,53.0
107,Autumn in New York,2000,5.6,24        ,22299,56.0
108,Before Night Falls,2000,7.3,85        ,22186,73.0
109,Joint Security Area,2000,7.9,58        ,22034,79.0
